timestamp,CPULoad,RealMemory,FreeMem,State,NodeName
2025-01-03 14:48:07.217149,0.01,385419,151172,IDLE,node13
2025-01-03 14:48:07.217149,0.01,385419,76566,IDLE,node12
2025-01-03 14:48:07.217149,0.01,385422,219922,MIXED,node15
2025-01-03 14:48:07.217149,0.06,385419,80456,IDLE,node09
2025-01-03 14:48:07.217149,0.01,385483,231862,IDLE,node05
2025-01-03 14:48:07.217149,0.05,385419,139631,IDLE,node16
2025-01-03 14:48:07.217149,0.01,385419,345918,IDLE,node11
2025-01-03 14:48:07.217149,5.2,385419,0,DOWN*,node14
2025-01-03 14:48:07.217149,0.06,385419,91827,IDLE,node10
2025-01-03 14:54:53.454928,5.2,385419,0,DOWN*,node14
2025-01-03 14:54:53.454928,0.01,385483,362753,IDLE,node07
2025-01-03 14:54:53.454928,0.02,385419,151173,IDLE,node13
